Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,Coat Type,Coat Length,Popularity Tier
Barbet,4,3,3,1,5,1,3,3,3,3,4,3,3,3,Curly; Wavy,Medium; Long,Low Popularity
Basenji,3,3,3,2,1,1,3,3,3,3,2,4,1,4,Smooth,Short,Medium Popularity
Basset Hound,3,5,5,2,3,4,3,3,3,3,3,2,4,3,Smooth,Short,High Popularity
Beagle,3,5,5,3,2,1,3,4,2,4,3,4,4,4,Smooth,Short,High Popularity
Bearded Collie,4,5,5,3,4,1,4,4,3,4,3,4,5,3,Silky,Long,Low Popularity
Beauceron,3,3,3,4,3,1,2,3,4,3,3,5,3,3,Smooth; Double,Short,Low Popularity
Bedlington Terrier,3,3,3,1,3,1,3,3,4,3,3,4,3,3,Curly,Medium,Low Popularity
Belgian Laekenoi,3,3,3,3,2,1,3,3,4,3,5,4,3,4,Wiry; Rough,Medium,Low Popularity
Belgian Malinoi,3,3,3,3,2,1,3,3,4,3,5,4,3,4,Smooth,Short,High Popularity
Belgian Sheepdog,3,3,3,3,2,1,3,3,4,3,5,4,3,4,Double,Medium,Medium Popularity
Belgian Tervuren,3,3,3,3,2,1,3,3,4,3,5,4,3,4,Double,Medium,Medium Popularity
Bergamasco Sheepdog,3,3,3,1,1,2,3,3,4,3,3,3,1,3,Corded,Long,Low Popularity
Berger Picard,3,3,3,3,1,1,3,3,4,3,4,4,2,4,Wiry,Medium,Low Popularity
Bernese Mountain Dog,5,5,5,5,3,3,4,4,3,4,4,4,3,3,Double,Medium,High Popularity
Bichon Frise,5,5,5,1,5,1,5,4,2,4,4,4,3,3,Double; Curly,Long,High Popularity
Biewer Terrier,5,3,5,1,3,1,3,4,2,3,3,3,3,3,Silky,Long,Medium Popularity
Black Russian Terrier,3,3,3,3,4,3,2,3,5,4,4,4,3,4,Double; Curly,Medium; Long,Medium Popularity
Black and Tan Coonhound,4,5,5,3,2,3,3,3,2,4,3,3,4,3,Smooth,Short,Low Popularity
Bloodhound,4,3,3,3,2,5,3,3,2,3,4,3,5,3,Smooth,Short,Medium Popularity
Bluetick Coonhound,3,3,5,3,2,2,3,3,2,3,4,4,4,3,Smooth,Short,Low Popularity
Boerboel,5,4,2,3,2,3,3,3,5,3,4,3,3,4,Smooth,Short,Medium Popularity
Border Collie,5,3,3,3,3,1,4,5,3,5,5,5,4,5,Double; Wavy,Medium,High Popularity
Border Terrier,4,5,3,2,2,1,4,4,3,4,4,3,3,3,Wiry,Short,Medium Popularity
Borzoi,3,3,3,3,2,1,3,3,3,3,2,4,2,4,Curly; Silky,Medium,Medium Popularity
Boston Terrier,5,5,4,2,2,1,5,5,3,3,4,4,2,3,Smooth,Short,High Popularity
Bouvier des Flandre,3,3,3,3,4,2,3,3,4,3,4,4,3,3,Rough; Double,Medium,Medium Popularity
Boxer,4,5,3,2,2,3,4,4,4,3,4,4,3,4,Smooth,Short,High Popularity
Boykin Spaniel,3,5,5,3,3,1,3,4,3,4,4,4,3,3,Double; Wavy,Medium,Medium Popularity
Bracco Italiano,3,4,4,2,1,2,3,3,3,3,5,4,2,3,Smooth,Short,Low Popularity
Briard,3,3,3,1,4,2,3,3,4,3,3,3,1,3,Double; Wavy,Long,Low Popularity
Brittany,3,4,4,3,3,1,3,4,3,3,5,5,3,4,Double; Wavy,Short,High Popularity
Brussels Griffon,4,3,3,3,3,1,4,4,3,4,4,3,4,3,Wiry; Smooth; Double,Short; Medium,Medium Popularity
Bull Terrier,4,3,1,3,2,1,4,4,3,3,3,4,3,4,Smooth,Short,Medium Popularity
Bulldog,4,3,3,3,3,3,4,4,3,3,4,3,2,3,Smooth,Short,High Popularity
Bullmastiff,4,3,3,3,1,3,3,3,5,3,4,4,1,4,Smooth,Short,Medium Popularity
Cairn Terrier,4,3,3,2,2,1,3,4,4,3,3,3,4,3,Wiry; Double,Medium,Medium Popularity
Canaan Dog,3,3,3,4,2,1,3,3,4,3,4,3,5,3,Smooth; Double,Short,Low Popularity
Cane Corso,4,3,3,2,1,3,3,3,5,3,4,4,3,3,Smooth,Short,High Popularity
Cardigan Welsh Corgi,4,4,3,3,2,1,4,4,3,3,4,4,5,4,Double,Medium,Medium Popularity
Cavalier King Charles Spaniel,5,5,5,2,2,2,4,3,3,3,4,3,3,3,Wavy; Silky,Medium,High Popularity
Cesky Terrier,4,5,3,2,2,1,4,3,3,4,3,3,3,3,Wavy; Silky,Medium,Low Popularity
Chesapeake Bay Retriever,4,3,3,3,3,2,3,3,4,4,5,4,3,4,Wiry; Wavy,Medium,High Popularity
Chihuahua,4,1,3,2,1,1,2,4,4,4,3,4,5,3,Smooth,Short; Medium,High Popularity
Chinese Crested,4,3,3,1,2,1,4,3,3,4,4,3,3,3,Hairless; Silky,Short; Medium,Medium Popularity
Chinese Shar-Pei,4,3,3,3,1,3,3,3,4,4,3,3,3,3,Smooth,Short,Medium Popularity
Chinook,4,5,5,3,3,1,3,3,4,4,4,3,5,3,Smooth,Medium,Low Popularity
Chow Chow,4,3,2,3,3,3,2,3,5,3,3,3,1,3,Smooth; Rough; Double,Medium,Medium Popularity
Cirneco dell’Etna,4,4,4,1,1,0,4,4,3,4,4,3,2,4,Smooth,Short,Low Popularity
Clumber Spaniel,4,3,3,3,2,4,4,3,3,4,4,3,1,3,Wavy; Silky,Medium,Low Popularity
Cocker Spaniel,4,5,5,3,4,2,4,3,3,4,4,4,3,3,Double; Silky,Long,High Popularity
Collie,4,5,3,3,3,2,3,4,3,4,4,3,5,3,Smooth; Rough,Short; Long,High Popularity
Coton de Tulear,5,5,5,2,4,1,5,4,3,4,4,3,1,3,Double; Wavy,Long,Medium Popularity
Curly-Coated Retriever,5,5,3,2,1,1,3,4,4,4,4,4,3,3,Double; Curly,Short,Low Popularity
Dachshund,5,3,4,2,2,2,4,4,4,4,4,3,5,3,Smooth,Short; Medium,High Popularity
Dalmatian,5,3,3,4,2,2,4,4,4,4,4,4,3,4,Smooth,Short,Medium Popularity
Dandie Dinmont Terrier,4,3,3,2,3,1,4,3,4,3,4,3,3,3,Double,Medium,Low Popularity
Danish-Swedish Farmdog,5,5,5,2,1,1,5,4,4,4,4,4,3,4,Smooth,Short,Low Popularity
Doberman Pinscher,5,5,3,4,1,2,4,4,5,4,5,5,3,4,Smooth,Short,High Popularity
Dogo Argentino,5,3,3,4,1,3,4,4,5,4,5,5,3,4,Smooth,Short,Medium Popularity
Dogue de Bordeaux,5,3,3,4,1,5,3,3,5,4,4,3,3,4,Smooth,Short,Medium Popularity
English Cocker Spaniel,5,5,5,3,3,2,4,3,3,4,4,3,3,4,Double,Medium; Long,High Popularity
English Foxhound,5,5,5,3,1,2,4,4,3,4,4,4,5,4,Double,Short,Low Popularity
English Setter,5,4,4,3,3,3,4,4,3,4,4,3,3,4,Double; Silky,Medium,Medium Popularity
English Springer Spaniel,5,3,4,3,2,3,4,4,3,4,5,4,3,4,Double,Medium,High Popularity
English Toy Spaniel,5,5,5,3,3,2,3,4,3,4,3,3,2,3,Double; Silky,Medium,Low Popularity
Entlebucher Mountain Dog,5,3,5,3,1,2,3,3,5,4,3,5,3,4,Smooth,Short,Low Popularity
Field Spaniel,5,5,4,3,2,2,4,3,3,4,5,3,3,3,Smooth; Wavy,Medium,Low Popularity
Finnish Lapphund,5,4,3,4,2,2,4,3,3,4,4,3,5,3,Double,Medium,Low Popularity
Finnish Spitz,5,5,4,3,2,2,3,3,3,4,3,5,5,4,Double,Medium,Low Popularity
Flat-Coated Retriever,5,5,5,3,2,2,5,5,3,5,5,5,3,4,Smooth,Medium,Medium Popularity
French Bulldog,5,5,4,3,1,3,5,5,3,5,4,3,1,3,Smooth,Short,High Popularity
German Pinscher,5,3,3,3,1,1,3,4,4,3,5,5,3,4,Smooth,Short,Low Popularity
German Shepherd Dog,5,5,3,4,2,2,3,4,5,5,5,5,3,5,Double,Medium,High Popularity
German Shorthaired Pointer,5,5,4,3,2,2,4,4,4,4,5,5,3,5,Smooth,Short,High Popularity
German Wirehaired Pointer,5,3,3,2,2,2,4,4,3,4,5,5,3,4,Wiry; Double,Medium,Medium Popularity
Giant Schnauzer,4,3,3,2,4,2,2,5,5,4,3,5,3,5,Wiry; Double,Medium,Medium Popularity
Glen of Imaal Terrier,5,3,3,2,3,2,3,3,3,4,3,3,2,3,Wiry,Medium,Low Popularity
Golden Retriever,5,5,5,4,2,2,5,4,3,5,5,3,1,4,Double,Medium,High Popularity
Gordon Setter,5,3,3,3,2,4,3,3,4,4,5,5,3,4,Double,Medium,Medium Popularity
Grand Basset Griffon Vendéen,5,3,4,3,2,2,5,4,3,4,3,5,4,4,Wiry; Double,Medium,Low Popularity
Great Dane,5,3,3,3,1,4,3,4,5,4,3,4,3,4,Smooth,Short,High Popularity
Great Pyrenee,5,3,3,3,2,3,3,3,5,3,3,3,3,3,Double,Medium,Medium Popularity
Greater Swiss Mountain Dog,5,5,3,3,2,3,5,4,4,3,4,4,3,4,Smooth,Short,Medium Popularity
Greyhound,4,3,4,2,1,1,3,3,3,4,3,4,3,3,Smooth,Short,Low Popularity
Harrier,5,5,5,3,1,2,4,4,3,4,4,4,5,4,Double,Short,Low Popularity
Havanese,5,5,5,2,3,1,5,5,3,5,4,3,4,3,Double; Silky,Long,High Popularity
Ibizan Hound,5,3,5,2,1,1,3,4,3,4,3,5,3,5,Wiry; Smooth,Short,Low Popularity
Icelandic Sheepdog,5,5,4,3,2,2,3,3,4,4,5,4,4,5,Double,Medium,Low Popularity
Irish Red and White Setter,5,5,5,2,2,2,5,3,3,5,5,5,3,3,Double; Silky,Medium,Low Popularity
Irish Setter,5,5,5,3,3,2,5,5,3,4,4,5,3,4,Silky,Medium,Medium Popularity
Irish Terrier,5,5,1,2,1,1,3,3,5,4,3,3,3,4,Wiry; Double,Medium,Medium Popularity
Irish Water Spaniel,5,3,3,1,3,2,3,5,3,4,5,3,1,4,Curly,Medium,Low Popularity
Irish Wolfhound,5,3,4,3,2,2,3,3,5,3,3,3,1,3,Wiry,Medium,Medium Popularity
Italian Greyhound,5,3,5,3,1,1,5,4,3,4,4,3,3,3,Smooth,Short,Medium Popularity
Japanese Chin,5,3,5,3,2,1,3,3,3,4,3,3,2,3,Silky,Medium,Medium Popularity
Keeshond,5,5,5,3,3,2,5,5,5,5,5,4,4,4,Double,Long,Medium Popularity
Kerry Blue Terrier,5,4,2,1,3,2,3,3,5,3,3,4,4,4,Wavy,Medium,Low Popularity
Komondor,5,3,2,1,4,2,3,3,5,3,4,3,3,3,Corded,Long,Low Popularity
Kuvasz,5,3,3,3,2,2,3,3,5,4,5,3,3,3,Double,Medium,Low Popularity
Labrador Retriever,5,5,5,4,2,2,5,5,3,5,5,5,3,4,Double,Short,High Popularity
Lagotto Romagnolo,5,3,5,1,2,2,4,4,3,4,4,4,2,4,Double; Curly,Medium,Medium Popularity
Lakeland Terrier,5,3,3,2,2,1,3,4,3,4,3,3,3,4,Wiry; Double,Short,Low Popularity
Lancashire Heeler,5,5,5,3,1,1,4,4,3,4,4,4,4,4,Double,Short,Low Popularity
Leonberger,5,5,3,4,4,3,5,3,4,4,5,3,3,4,Double,Long,Medium Popularity
Lhasa Apso,5,3,3,1,3,1,3,3,5,5,3,3,3,3,Silky,Long,Medium Popularity
Lowchen,5,5,3,2,2,1,3,4,4,4,4,3,3,3,Wavy,Long,Low Popularity
Maltese,5,3,3,1,4,1,3,3,4,4,3,3,3,3,Silky,Long,High Popularity
Manchester Terrier,5,4,3,2,2,1,3,4,4,4,4,4,4,3,Smooth,Short,Low Popularity
Mastiff,5,5,3,3,1,4,3,3,5,4,3,3,1,3,Double,Short,High Popularity
Miniature American Shepherd,5,5,5,3,3,2,3,4,3,4,5,5,3,5,Double,Medium,High Popularity
Miniature Bull Terrier,5,3,3,2,1,2,3,4,4,4,3,4,5,4,Smooth,Short,Medium Popularity
Miniature Pinscher,5,3,4,3,1,1,3,4,5,4,3,5,5,5,Smooth,Short,Medium Popularity
Miniature Schnauzer,5,5,3,3,4,2,3,4,4,5,5,3,5,4,Wiry; Double,Medium,High Popularity
Mudi,5,3,3,2,1,2,3,5,4,4,5,5,4,3,Curly,Medium,Low Popularity
Neapolitan Mastiff,3,3,3,3,2,5,3,2,5,3,3,2,1,3,Smooth,Short,Medium Popularity
Nederlandse Kooikerhondje,5,3,3,3,2,2,4,3,3,4,5,4,3,4,Double; Wavy,Medium,Low Popularity
Newfoundland,5,5,5,3,2,5,5,3,5,4,3,3,1,3,Double,Medium,High Popularity
Norfolk Terrier,5,5,3,3,2,1,5,4,4,4,3,4,4,4,Wiry; Double,Short,Low Popularity
Norwegian Buhund,5,3,3,3,2,1,3,3,4,4,3,4,4,4,Double,Medium,Low Popularity
Norwegian Elkhound,5,3,3,3,2,2,4,4,5,4,4,4,4,4,Double,Medium,Medium Popularity
Norwegian Lundehund,5,3,3,3,2,1,3,3,3,3,3,3,4,3,Double,Short,Low Popularity
Norwich Terrier,5,5,3,3,2,1,5,4,4,4,3,4,4,4,Wiry; Double,Short,Medium Popularity
Nova Scotia Duck Tolling Retriever,5,5,4,3,2,2,3,5,3,4,5,5,2,4,Double,Medium,Medium Popularity
Old English Sheepdog,5,5,3,3,4,3,3,4,4,4,4,3,3,4,Double,Long,Medium Popularity
Otterhound,5,3,3,2,2,3,4,3,3,4,4,3,5,3,Rough; Double,Medium,Low Popularity
Papillon,5,5,3,3,2,1,5,5,4,5,5,4,5,5,Silky,Medium,High Popularity
Parson Russell Terrier,5,3,5,2,2,1,3,4,3,4,4,5,3,4,Smooth; Double,Short,Medium Popularity
Pekingese,5,3,3,3,3,1,3,4,4,4,3,3,1,3,Double,Long,Medium Popularity
Pembroke Welsh Corgi,5,3,4,4,2,1,4,4,5,4,4,4,4,4,Double,Short,High Popularity
Petit Basset Griffon Vendéen,4,5,5,2,2,2,4,4,4,4,3,4,5,4,Rough; Double,Long,Low Popularity
Pharaoh Hound,5,3,5,3,2,1,3,3,3,3,4,4,3,4,Smooth,Short,Low Popularity
Plott Hound,5,3,5,2,1,2,4,3,4,4,4,4,4,3,Smooth,Short,Low Popularity
Pointer,5,3,5,3,2,2,4,4,3,4,5,4,3,4,Smooth,Short,Medium Popularity
Polish Lowland Sheepdog,5,3,3,2,4,2,3,4,5,5,4,3,4,4,Double,Long,Low Popularity
Pomeranian,5,3,3,2,3,1,3,3,4,4,3,3,4,3,Double,Long,High Popularity
Poodle,5,5,3,1,4,1,5,5,5,4,4,4,4,5,Curly,Long,High Popularity
Portuguese Podengo Pequeno,5,5,5,3,2,1,3,4,3,4,3,4,3,4,Wiry; Smooth,Short,Low Popularity
Portuguese Water Dog,5,5,4,2,4,2,4,5,4,5,5,5,3,5,Curly; Wavy,Long,High Popularity
Pug,5,5,4,4,2,1,5,5,3,5,4,3,1,3,Smooth,Short,High Popularity
Puli,5,3,3,1,5,2,3,3,5,4,5,3,3,5,Corded; Double,Long,Low Popularity
Pumi,5,3,3,1,2,2,3,4,4,4,5,5,3,5,Curly; Wavy,Medium,Low Popularity
Pyrenean Shepherd,5,3,3,3,2,2,3,5,5,4,5,5,4,5,Smooth; Rough,Medium,Low Popularity
Rat Terrier,5,5,3,3,2,1,5,5,4,4,5,4,3,5,Smooth,Short,Medium Popularity
Redbone Coonhound,5,5,5,3,2,3,3,3,3,4,3,3,4,4,Smooth,Short,Low Popularity
Rhodesian Ridgeback,5,5,3,3,2,2,3,3,5,4,4,3,2,4,Smooth,Short,High Popularity
Rottweiler,5,3,3,3,1,3,3,4,5,4,5,3,1,5,Smooth,Short,High Popularity
Russell Terrier,5,3,5,3,2,1,5,5,4,4,3,5,4,5,Wiry; Smooth,Short,Medium Popularity
Russian Toy,5,3,3,3,2,1,3,4,4,4,4,3,4,3,Double,Short,Low Popularity
Saint Bernard,5,5,3,3,2,5,3,3,5,4,3,3,1,3,Smooth; Rough; Double,Short,Medium Popularity
Saluki,5,3,3,2,1,1,3,3,1,3,3,4,3,5,Smooth,Short,Low Popularity
Samoyed,5,5,3,3,3,1,5,5,4,4,4,4,5,4,Double,Long,Medium Popularity
Schipperke,5,3,3,3,2,1,3,4,5,4,4,3,4,3,Double,Short,Medium Popularity
Scottish Deerhound,5,3,5,3,1,1,3,3,3,3,3,3,1,3,Wiry; Double,Medium,Low Popularity
Scottish Terrier,5,3,2,2,3,2,3,4,5,4,3,3,4,4,Wiry; Double,Medium,Medium Popularity
Sealyham Terrier,5,3,3,3,3,1,4,3,5,4,4,3,4,4,Wiry; Double,Medium,Low Popularity
Shetland Sheepdog,5,5,5,3,3,1,2,5,5,5,5,4,5,4,Double,Long,High Popularity
Shiba Inu,5,3,3,3,2,1,3,3,5,3,2,3,3,4,Double,Short,High Popularity
Shih Tzu,5,5,5,1,4,1,3,3,3,5,4,3,3,3,Double,Long,High Popularity
Siberian Husky,5,5,5,4,2,1,5,5,1,4,3,5,5,4,Double,Medium,High Popularity
Silky Terrier,5,3,3,2,3,1,4,4,5,4,4,3,4,3,Silky,Long,Medium Popularity
Skye Terrier,5,3,3,3,3,1,3,3,3,3,3,3,3,3,Double,Long,Low Popularity
Sloughi,4,3,3,3,1,1,2,3,2,3,3,4,2,3,Smooth,Short,Low Popularity
Smooth Fox Terrier,5,3,3,3,2,1,3,4,5,4,3,4,5,3,Smooth,Short,Low Popularity
Soft Coated Wheaten Terrier,5,5,3,1,4,2,3,3,3,3,3,4,3,3,Wavy; Silky,Medium,Medium Popularity
Spanish Water Dog,5,4,3,1,4,2,3,4,3,3,4,4,3,5,Corded; Curly,Medium,Low Popularity
Spinone Italiano,5,3,4,3,2,3,3,3,3,3,4,3,2,3,Wiry,Medium,Medium Popularity
Staffordshire Bull Terrier,5,5,3,3,2,2,4,4,3,5,5,5,3,4,Smooth,Short,Medium Popularity
Standard Schnauzer,5,5,3,1,3,3,3,4,5,4,5,3,3,5,Wiry; Double,Medium,Medium Popularity
Sussex Spaniel,5,3,3,3,3,3,3,4,3,2,3,3,4,3,Double,Medium,Low Popularity
Swedish Vallhund,5,5,3,4,2,2,3,4,3,4,4,4,3,4,Double,Short,Low Popularity
Tibetan Mastiff,4,3,3,4,3,3,1,3,5,3,3,3,3,4,Double,Medium,Low Popularity
Tibetan Spaniel,5,5,3,3,2,2,4,4,4,4,3,3,3,3,Double,Medium,Medium Popularity
Tibetan Terrier,5,3,3,3,3,2,3,3,4,4,3,4,3,4,Double,Long,Medium Popularity
Toy Fox Terrier,5,3,3,3,2,1,5,4,5,4,5,4,4,4,Smooth,Short,Medium Popularity
Treeing Walker Coonhound,5,5,5,3,1,3,3,4,3,4,5,5,4,5,Smooth,Short,Low Popularity
Vizsla,5,5,4,3,2,2,4,5,3,5,5,5,3,5,Smooth,Short,High Popularity
Weimaraner,5,5,3,3,2,2,3,5,5,4,5,5,3,5,Smooth,Short,High Popularity
Welsh Springer Spaniel,5,5,4,3,2,2,1,3,3,4,5,4,3,4,Double,Medium,Low Popularity
Welsh Terrier,5,5,3,2,3,2,5,4,4,4,4,4,4,4,Wiry; Double,Medium,Medium Popularity
West Highland White Terrier,5,5,3,3,3,1,4,5,5,4,3,4,5,4,Double,Medium,High Popularity
Whippet,5,5,5,2,1,1,3,4,3,3,3,4,1,4,Smooth,Short,Medium Popularity
Wire Fox Terrier,5,5,3,2,3,2,5,4,4,4,4,4,4,4,Wiry; Double,Medium,Medium Popularity
Wirehaired Pointing Griffon,5,5,3,3,2,3,5,4,3,4,5,5,3,5,Wiry; Double,Medium,Medium Popularity
Wirehaired Vizsla,5,5,3,3,1,2,5,5,3,4,5,5,3,5,Wiry,Short,Low Popularity
Xoloitzcuintli,5,3,3,1,1,1,3,4,3,4,4,4,3,4,Hairless; Smooth,Short,Low Popularity
Yorkshire Terrier,5,5,3,1,5,1,5,4,5,5,4,4,4,4,Silky,Long,High Popularity
