Breed,Family Life,Physical,Social,Personality,Coat Type,Coat Length,Average Rank,Popularity Tier
Bullmastiff,3.3333333333333335,2.3333333333333335,3.5,3.25,Smooth,Short,54.46153846153846,Medium Popularity
Cairn Terrier,3.3333333333333335,1.6666666666666667,3.5,3.25,Wiry; Double,Medium,69.61538461538461,Medium Popularity
Canaan Dog,3.0,2.3333333333333335,3.25,3.75,Smooth; Double,Short,181.76923076923077,Low Popularity
Cane Corso,3.3333333333333335,2.0,3.5,3.5,Smooth,Short,29.0,High Popularity
Cardigan Welsh Corgi,3.6666666666666665,2.0,3.5,4.25,Double,Medium,68.0,Medium Popularity
Cavalier King Charles Spaniel,5.0,2.0,3.25,3.25,Wavy; Silky,Medium,16.307692307692307,High Popularity
Cesky Terrier,4.0,1.6666666666666667,3.5,3.0,Wavy; Silky,Medium,186.53846153846155,Low Popularity
Chesapeake Bay Retriever,3.3333333333333335,2.6666666666666665,3.5,4.0,Wiry; Wavy,Medium,47.30769230769231,High Popularity
Chihuahua,2.6666666666666665,1.3333333333333333,3.5,3.75,Smooth,Short; Medium,30.153846153846153,High Popularity
Chinese Crested,3.3333333333333335,1.3333333333333333,3.5,3.25,Hairless; Silky,Short; Medium,75.3076923076923,Medium Popularity
Chinese Shar-Pei,3.3333333333333335,2.3333333333333335,3.5,3.0,Smooth,Short,65.53846153846153,Medium Popularity
Chinook,4.666666666666667,2.3333333333333335,3.5,3.75,Smooth,Medium,179.30769230769232,Low Popularity
Chow Chow,3.0,3.0,3.25,2.5,Smooth; Rough; Double,Medium,80.15384615384616,Medium Popularity
Cirneco dell’Etna,4.0,0.6666666666666666,3.75,3.25,Smooth,Short,176.75,Low Popularity
Clumber Spaniel,3.3333333333333335,3.0,3.5,2.75,Wavy; Silky,Medium,140.30769230769232,Low Popularity
Cocker Spaniel,4.666666666666667,3.0,3.5,3.5,Double; Silky,Long,29.846153846153847,High Popularity
Collie,4.0,2.6666666666666665,3.5,3.75,Smooth; Rough,Short; Long,38.07692307692308,High Popularity
Coton de Tulear,5.0,2.3333333333333335,4.0,2.75,Double; Wavy,Long,79.0,Medium Popularity
Curly-Coated Retriever,4.333333333333333,1.3333333333333333,3.75,3.5,Double; Curly,Short,163.0,Low Popularity
Dachshund,4.0,2.0,4.0,3.75,Smooth,Short; Medium,9.923076923076923,High Popularity
Dalmatian,3.6666666666666665,2.6666666666666665,4.0,3.75,Smooth,Short,55.92307692307692,Medium Popularity
Dandie Dinmont Terrier,3.3333333333333335,2.0,3.5,3.25,Double,Medium,177.0,Low Popularity
Danish-Swedish Farmdog,5.0,1.3333333333333333,4.25,3.75,Smooth,Short,170.0,Low Popularity
Doberman Pinscher,4.333333333333333,2.3333333333333335,4.25,4.25,Smooth,Short,15.538461538461538,High Popularity
Dogo Argentino,3.6666666666666665,2.6666666666666665,4.25,4.25,Smooth,Short,87.85714285714286,Medium Popularity
Dogue de Bordeaux,3.6666666666666665,3.3333333333333335,3.75,3.5,Smooth,Short,73.15384615384616,Medium Popularity
English Cocker Spaniel,5.0,2.6666666666666665,3.5,3.5,Double,Medium; Long,48.76923076923077,High Popularity
English Foxhound,5.0,2.0,3.75,4.25,Double,Short,190.69230769230768,Low Popularity
English Setter,4.333333333333333,3.0,3.75,3.5,Double; Silky,Medium,95.23076923076923,Medium Popularity
English Springer Spaniel,4.0,2.6666666666666665,3.75,4.0,Double,Medium,26.923076923076923,High Popularity
English Toy Spaniel,5.0,2.6666666666666665,3.5,2.75,Double; Silky,Medium,136.6153846153846,Low Popularity
Entlebucher Mountain Dog,4.333333333333333,2.0,3.75,3.75,Smooth,Short,164.0,Low Popularity
Field Spaniel,4.666666666666667,2.3333333333333335,3.5,3.5,Smooth; Wavy,Medium,148.15384615384616,Low Popularity
Finnish Lapphund,4.0,2.6666666666666665,3.5,3.75,Double,Medium,159.84615384615384,Low Popularity
Finnish Spitz,4.666666666666667,2.3333333333333335,3.25,4.25,Double,Medium,184.23076923076923,Low Popularity
Flat-Coated Retriever,5.0,2.3333333333333335,4.5,4.25,Smooth,Medium,95.92307692307692,Medium Popularity
French Bulldog,4.666666666666667,2.3333333333333335,4.5,2.75,Smooth,Short,4.0,High Popularity
German Pinscher,3.6666666666666665,1.6666666666666667,3.5,4.25,Smooth,Short,138.69230769230768,Low Popularity
German Shepherd Dog,4.333333333333333,2.6666666666666665,4.25,4.5,Double,Medium,2.8461538461538463,High Popularity
German Shorthaired Pointer,4.666666666666667,2.3333333333333335,4.0,4.5,Smooth,Short,10.153846153846153,High Popularity
German Wirehaired Pointer,3.6666666666666665,2.0,3.75,4.25,Wiry; Double,Medium,63.15384615384615,Medium Popularity
Giant Schnauzer,3.3333333333333335,2.6666666666666665,4.0,4.0,Wiry; Double,Medium,70.07692307692308,Medium Popularity
Glen of Imaal Terrier,3.6666666666666665,2.3333333333333335,3.25,2.75,Wiry,Medium,169.46153846153845,Low Popularity
Golden Retriever,5.0,2.6666666666666665,4.25,3.25,Double,Medium,3.076923076923077,High Popularity
Gordon Setter,3.6666666666666665,3.0,3.5,4.25,Double,Medium,106.61538461538461,Medium Popularity
Grand Basset Griffon Vendéen,4.0,2.3333333333333335,4.0,4.0,Wiry; Double,Medium,189.375,Low Popularity
Great Dane,3.6666666666666665,2.6666666666666665,4.0,3.5,Smooth,Short,16.923076923076923,High Popularity
Great Pyrenee,3.6666666666666665,2.6666666666666665,3.5,3.0,Double,Medium,68.15384615384616,Medium Popularity
Greater Swiss Mountain Dog,4.333333333333333,2.6666666666666665,4.0,3.75,Smooth,Short,77.6923076923077,Medium Popularity
Greyhound,3.6666666666666665,1.3333333333333333,3.25,3.25,Smooth,Short,142.84615384615384,Low Popularity
Harrier,5.0,2.0,3.75,4.25,Double,Short,186.6153846153846,Low Popularity
Havanese,5.0,2.0,4.5,3.5,Double; Silky,Long,24.23076923076923,High Popularity
Ibizan Hound,4.333333333333333,1.3333333333333333,3.5,4.0,Wiry; Smooth,Short,165.46153846153845,Low Popularity
Icelandic Sheepdog,4.666666666666667,2.3333333333333335,3.5,4.5,Double,Medium,143.46153846153845,Low Popularity
Irish Red and White Setter,5.0,2.0,4.0,4.0,Double; Silky,Medium,156.6153846153846,Low Popularity
Irish Setter,5.0,2.6666666666666665,4.25,4.0,Silky,Medium,74.84615384615384,Medium Popularity
Irish Terrier,3.6666666666666665,1.3333333333333333,3.75,3.25,Wiry; Double,Medium,124.92307692307692,Medium Popularity
Irish Water Spaniel,3.6666666666666665,2.0,3.75,3.25,Curly,Medium,163.6153846153846,Low Popularity
Irish Wolfhound,4.0,2.3333333333333335,3.5,2.5,Wiry,Medium,75.76923076923077,Medium Popularity
Italian Greyhound,4.333333333333333,1.6666666666666667,4.0,3.25,Smooth,Short,67.23076923076923,Medium Popularity
Japanese Chin,4.333333333333333,2.0,3.25,2.75,Silky,Medium,102.84615384615384,Medium Popularity
Keeshond,5.0,2.6666666666666665,5.0,4.25,Double,Long,89.61538461538461,Medium Popularity
Kerry Blue Terrier,3.6666666666666665,2.0,3.5,3.75,Wavy,Medium,135.46153846153845,Low Popularity
Komondor,3.3333333333333335,2.3333333333333335,3.5,3.25,Corded,Long,175.07692307692307,Low Popularity
Kuvasz,3.6666666666666665,2.3333333333333335,3.75,3.5,Double,Medium,165.6153846153846,Low Popularity
Labrador Retriever,5.0,2.6666666666666665,4.5,4.25,Double,Short,1.3076923076923077,High Popularity
Lagotto Romagnolo,4.333333333333333,1.6666666666666667,3.75,3.5,Double; Curly,Medium,89.9,Medium Popularity
Lakeland Terrier,3.6666666666666665,1.6666666666666667,3.5,3.25,Wiry; Double,Short,145.46153846153845,Low Popularity
Lancashire Heeler,5.0,1.6666666666666667,3.75,4.0,Double,Short,189.5,Low Popularity
Leonberger,4.333333333333333,3.6666666666666665,4.0,3.75,Double,Long,99.0,Medium Popularity
Lhasa Apso,3.6666666666666665,1.6666666666666667,4.0,3.0,Silky,Long,77.15384615384616,Medium Popularity
Lowchen,4.333333333333333,1.6666666666666667,3.75,3.25,Wavy,Long,161.76923076923077,Low Popularity
Maltese,3.6666666666666665,2.0,3.5,3.0,Silky,Long,34.76923076923077,High Popularity
Manchester Terrier,4.0,1.6666666666666667,3.75,3.75,Smooth,Short,130.23076923076923,Low Popularity
Mastiff,4.333333333333333,2.6666666666666665,3.75,2.5,Double,Short,32.07692307692308,High Popularity
Miniature American Shepherd,5.0,2.6666666666666665,3.5,4.5,Double,Medium,30.7,High Popularity
Miniature Bull Terrier,3.6666666666666665,1.6666666666666667,3.75,4.0,Smooth,Short,113.3076923076923,Medium Popularity
Miniature Pinscher,4.0,1.6666666666666667,4.0,4.5,Smooth,Short,69.3076923076923,Medium Popularity
Miniature Schnauzer,4.333333333333333,3.0,4.0,4.25,Wiry; Double,Medium,17.46153846153846,High Popularity
Mudi,3.6666666666666665,1.6666666666666667,4.0,4.25,Curly,Medium,131.75,Low Popularity
Neapolitan Mastiff,3.0,3.3333333333333335,3.25,2.25,Smooth,Short,110.07692307692308,Medium Popularity
Nederlandse Kooikerhondje,3.6666666666666665,2.3333333333333335,3.5,4.0,Double; Wavy,Medium,159.625,Low Popularity
Newfoundland,5.0,3.3333333333333335,4.25,2.5,Double,Medium,40.38461538461539,High Popularity
Norfolk Terrier,4.333333333333333,2.0,4.25,3.75,Wiry; Double,Short,130.76923076923077,Low Popularity
Norwegian Buhund,3.6666666666666665,2.0,3.5,3.75,Double,Medium,171.6153846153846,Low Popularity
Norwegian Elkhound,3.6666666666666665,2.3333333333333335,4.25,4.0,Double,Medium,102.15384615384616,Medium Popularity
Norwegian Lundehund,3.6666666666666665,2.0,3.0,3.25,Double,Short,191.69230769230768,Low Popularity
Norwich Terrier,4.333333333333333,2.0,4.25,3.75,Wiry; Double,Short,104.3076923076923,Medium Popularity
Nova Scotia Duck Tolling Retriever,4.666666666666667,2.3333333333333335,3.75,4.0,Double,Medium,86.53846153846153,Medium Popularity
Old English Sheepdog,4.333333333333333,3.3333333333333335,3.75,3.5,Double,Long,75.46153846153847,Medium Popularity
Otterhound,3.6666666666666665,2.3333333333333335,3.5,3.75,Rough; Double,Medium,180.23076923076923,Low Popularity
Papillon,4.333333333333333,2.0,4.75,4.75,Silky,Medium,48.53846153846154,High Popularity
Parson Russell Terrier,4.333333333333333,1.6666666666666667,3.5,4.0,Smooth; Double,Short,115.0,Medium Popularity
Pekingese,3.6666666666666665,2.3333333333333335,3.75,2.5,Double,Long,88.38461538461539,Medium Popularity
Pembroke Welsh Corgi,4.0,2.3333333333333335,4.25,4.0,Double,Short,15.153846153846153,High Popularity
Petit Basset Griffon Vendéen,4.666666666666667,2.0,4.0,4.0,Rough; Double,Long,154.0,Low Popularity
Pharaoh Hound,4.333333333333333,2.0,3.0,3.75,Smooth,Short,172.53846153846155,Low Popularity
Plott Hound,4.333333333333333,1.6666666666666667,3.75,3.75,Smooth,Short,166.30769230769232,Low Popularity
Pointer,4.333333333333333,2.3333333333333335,3.75,4.0,Smooth,Short,116.0,Medium Popularity
Polish Lowland Sheepdog,3.6666666666666665,2.6666666666666665,4.25,3.75,Double,Long,175.6153846153846,Low Popularity
Pomeranian,3.6666666666666665,2.0,3.5,3.25,Double,Long,21.846153846153847,High Popularity
Poodle,4.333333333333333,2.0,4.75,4.25,Curly,Long,6.3076923076923075,High Popularity
Portuguese Podengo Pequeno,5.0,2.0,3.5,3.5,Wiry; Smooth,Short,159.07692307692307,Low Popularity
Portuguese Water Dog,4.666666666666667,2.6666666666666665,4.5,4.5,Curly; Wavy,Long,48.69230769230769,High Popularity
Pug,4.666666666666667,2.3333333333333335,4.5,2.75,Smooth,Short,32.92307692307692,High Popularity
Puli,3.6666666666666665,2.6666666666666665,3.75,4.0,Corded; Double,Long,157.30769230769232,Low Popularity
Pumi,3.6666666666666665,1.6666666666666667,3.75,4.5,Curly; Wavy,Medium,157.88888888888889,Low Popularity
Pyrenean Shepherd,3.6666666666666665,2.3333333333333335,4.25,4.75,Smooth; Rough,Medium,182.6153846153846,Low Popularity
Rat Terrier,4.333333333333333,2.0,4.5,4.25,Smooth,Short,90.66666666666667,Medium Popularity
Redbone Coonhound,5.0,2.6666666666666665,3.25,3.5,Smooth,Short,144.46153846153845,Low Popularity
Rhodesian Ridgeback,4.333333333333333,2.3333333333333335,3.75,3.25,Smooth,Short,41.0,High Popularity
Rottweiler,3.6666666666666665,2.3333333333333335,4.0,3.5,Smooth,Short,8.307692307692308,High Popularity
Russell Terrier,4.333333333333333,2.0,4.5,4.25,Wiry; Smooth,Short,80.46153846153847,Medium Popularity
Russian Toy,3.6666666666666665,2.0,3.75,3.5,Double,Short,145.0,Low Popularity
Saint Bernard,4.333333333333333,3.3333333333333335,3.75,2.5,Smooth; Rough; Double,Short,52.46153846153846,Medium Popularity
Saluki,3.6666666666666665,1.3333333333333333,2.5,3.75,Smooth,Short,129.15384615384616,Low Popularity
Samoyed,4.333333333333333,2.3333333333333335,4.5,4.25,Double,Long,58.30769230769231,Medium Popularity
Schipperke,3.6666666666666665,2.0,4.0,3.5,Double,Short,110.38461538461539,Medium Popularity
Scottish Deerhound,4.333333333333333,1.6666666666666667,3.0,2.5,Wiry; Double,Medium,159.69230769230768,Low Popularity
Scottish Terrier,3.3333333333333335,2.3333333333333335,4.0,3.5,Wiry; Double,Medium,57.46153846153846,Medium Popularity
Sealyham Terrier,3.6666666666666665,2.3333333333333335,4.0,3.75,Wiry; Double,Medium,158.53846153846155,Low Popularity
Shetland Sheepdog,5.0,2.3333333333333335,4.25,4.5,Double,Long,25.307692307692307,High Popularity
Shiba Inu,3.6666666666666665,2.0,3.5,3.0,Double,Short,44.30769230769231,High Popularity
Shih Tzu,5.0,2.0,3.5,3.25,Double,Long,19.53846153846154,High Popularity
Siberian Husky,5.0,2.3333333333333335,3.75,4.25,Double,Medium,17.53846153846154,High Popularity
Silky Terrier,3.6666666666666665,2.0,4.25,3.5,Silky,Long,108.53846153846153,Medium Popularity
Skye Terrier,3.6666666666666665,2.3333333333333335,3.0,3.0,Double,Long,179.07692307692307,Low Popularity
Sloughi,3.3333333333333335,1.6666666666666667,2.5,3.0,Smooth,Short,193.5,Low Popularity
Smooth Fox Terrier,3.6666666666666665,2.0,4.0,3.75,Smooth,Short,128.23076923076923,Low Popularity
Soft Coated Wheaten Terrier,4.333333333333333,2.3333333333333335,3.0,3.25,Wavy; Silky,Medium,58.69230769230769,Medium Popularity
Spanish Water Dog,4.0,2.3333333333333335,3.25,4.0,Corded; Curly,Medium,150.33333333333334,Low Popularity
Spinone Italiano,4.0,2.6666666666666665,3.0,3.0,Wiry,Medium,113.23076923076923,Medium Popularity
Staffordshire Bull Terrier,4.333333333333333,2.3333333333333335,4.0,4.25,Smooth,Short,76.23076923076923,Medium Popularity
Standard Schnauzer,4.333333333333333,2.3333333333333335,4.0,4.0,Wiry; Double,Medium,92.0,Medium Popularity
Sussex Spaniel,3.6666666666666665,3.0,3.0,3.25,Double,Medium,174.30769230769232,Low Popularity
Swedish Vallhund,4.333333333333333,2.6666666666666665,3.5,3.75,Double,Short,154.76923076923077,Low Popularity
Tibetan Mastiff,3.3333333333333335,3.3333333333333335,3.0,3.25,Double,Medium,138.92307692307693,Low Popularity
Tibetan Spaniel,4.333333333333333,2.3333333333333335,4.0,3.0,Double,Medium,119.92307692307692,Medium Popularity
Tibetan Terrier,3.6666666666666665,2.6666666666666665,3.5,3.5,Double,Long,101.3076923076923,Medium Popularity
Toy Fox Terrier,3.6666666666666665,2.0,4.5,4.25,Smooth,Short,110.38461538461539,Medium Popularity
Treeing Walker Coonhound,5.0,2.3333333333333335,3.5,4.75,Smooth,Short,136.84615384615384,Low Popularity
Vizsla,4.666666666666667,2.3333333333333335,4.25,4.5,Smooth,Short,33.23076923076923,High Popularity
Weimaraner,4.333333333333333,2.3333333333333335,4.25,4.5,Smooth,Short,40.38461538461539,High Popularity
Welsh Springer Spaniel,4.666666666666667,2.3333333333333335,2.75,4.0,Double,Medium,130.15384615384616,Low Popularity
Welsh Terrier,4.333333333333333,2.3333333333333335,4.25,4.0,Wiry; Double,Medium,111.07692307692308,Medium Popularity
West Highland White Terrier,4.333333333333333,2.3333333333333335,4.5,4.0,Double,Medium,42.15384615384615,High Popularity
Whippet,5.0,1.3333333333333333,3.25,3.0,Smooth,Short,56.23076923076923,Medium Popularity
Wire Fox Terrier,4.333333333333333,2.3333333333333335,4.25,4.0,Wiry; Double,Medium,101.23076923076923,Medium Popularity
Wirehaired Pointing Griffon,4.333333333333333,2.6666666666666665,4.0,4.5,Wiry; Double,Medium,63.07692307692308,Medium Popularity
Wirehaired Vizsla,4.333333333333333,2.0,4.25,4.5,Wiry,Short,146.75,Low Popularity
Xoloitzcuintli,3.6666666666666665,1.0,3.5,3.75,Hairless; Smooth,Short,131.30769230769232,Low Popularity
Yorkshire Terrier,4.333333333333333,2.3333333333333335,4.75,4.0,Silky,Long,10.384615384615385,High Popularity
